er,sx,sy,sz,u (sy/sx),v (sz/sx),d,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
20,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.7435044403058861,1.3729968471197558,1.3730011047185295,0.28104316150409847,0.35688355805616867,0.3568824513804392,0.9948091709407063
0.5,1.0,0.7,0.5,0.7,0.5,0.05,-0.19888231070862905,-0.21112901558724456,-0.22874487630953325,-1.7598347422298644,-1.657754141592016,-1.5300889167300369,-4.947677800551917
1.25,1.0,0.7,0.5,0.7,0.5,0.05,0.08297521631620246,0.081039912144573,0.07872689478844905,4.218126996695228,4.318859568549501,4.445748824979092,12.98273539022382
1.5,1.0,0.7,0.5,0.7,0.5,0.05,0.15809048854826466,0.15123646934519064,0.1434026329332333,2.2139219330272724,2.3142566175698023,2.440680431320645,6.96885898191772
1.75,1.0,0.7,0.5,0.7,0.5,0.05,0.2267077733522251,0.21292032552287973,0.19776570802306212,1.5438376674284635,1.6438073685097296,1.7697709248925264,4.957415960830719
2,1.0,0.7,0.5,0.7,0.5,0.05,0.2898155332191762,0.26772732164061896,0.24427281546520777,1.207664738022543,1.3073002704961838,1.4328241942659032,3.94778920278463
3,1.0,0.7,0.5,0.7,0.5,0.05,0.5001139035415433,0.4383812156579125,0.379432549562372,0.6998405713608126,0.798391873325886,0.9224300877815602,2.420662532468259
5,1.0,0.7,0.5,0.7,0.5,0.05,0.7921423858587662,0.6493575173957044,0.5294215561534062,0.44183975791241487,0.5389942991708181,0.6610988841160508,1.6419329411992838
8,1.0,0.7,0.5,0.7,0.5,0.05,1.0636795825729342,0.8234802021319558,0.6415542486834597,0.3290464588531305,0.4250253972030713,0.545550124121598,1.2996219801778
10,1.0,0.7,0.5,0.7,0.5,0.05,1.1861534685421748,0.8961500540362117,0.6856737693150657,0.29507142986325585,0.3905595925856599,0.5104468271400006,1.1960778495889164
12.5,1.0,0.7,0.5,0.7,0.5,0.05,1.3017941229286754,0.961754678064587,0.7242471861773403,0.26885971739724646,0.36391816747315636,0.4832604208617504,1.1160383057321532
15,1.0,0.7,0.5,0.7,0.5,0.05,1.3909544495891069,1.0103631052548712,0.7520201217167531,0.25162578120612883,0.34641011551160117,0.46541307857694103,1.063448975294671
17.5,1.0,0.7,0.5,0.7,0.5,0.05,1.4617366294591496,1.0477548210466863,0.7731407771220936,0.23944121871633048,0.33404761588246085,0.45269892671141354,1.0261877613102048
20,1.0,0.7,0.5,0.7,0.5,0.05,1.5197731545861828,1.07881523194946,0.789725177782819,0.23029752759075486,0.3244299761763066,0.4431921506955587,0.9979196544626201
0.5,1.0,0.7,0.3,0.7,0.3,0.03,-0.11608632833814383,-0.12199699376608837,-0.14768536392019405,-1.8089985531138368,-1.7213538917413382,-1.4219418527720826,-4.952294297627258
1.25,1.0,0.7,0.3,0.7,0.3,0.03,0.05034107600259305,0.049325845225746935,0.0461068181415595,4.1715437307931795,4.25740297077332,4.554640907018292,12.983587608584791
1.5,1.0,0.7,0.3,0.7,0.3,0.03,0.09686202002321778,0.09318683106332713,0.08236297943423807,2.168032423334379,2.2535373035412047,2.549689210401531,6.971258937277115
1.75,1.0,0.7,0.3,0.7,0.3,0.03,0.1401435315136311,0.1326031915745375,0.11177527705780833,1.498463737368958,1.5836722895312592,1.878769666492452,4.96090569339267
2,1.0,0.7,0.3,0.7,0.3,0.03,0.18061269205004227,0.16831457998562394,0.13620750195719,1.1627089858215247,1.2476637497353853,1.541765299138978,3.9521380346958885
3,1.0,0.7,0.3,0.7,0.3,0.03,0.32011350659578247,0.2836987909971284,0.20368422847617224,0.6560173053403013,0.7402216952067505,1.0310076610794958,2.4272466616265476
5,1.0,0.7,0.3,0.7,0.3,0.03,0.5261087071550271,0.4352536876856723,0.2730788320172429,0.39915705089845593,0.48247724474572623,0.7690087087626771,1.6506430044068594
8,1.0,0.7,0.3,0.7,0.3,0.03,0.7312774916096092,0.5679141846293825,0.3216807774170979,0.28716869096814485,0.36977417659860845,0.6528211032259155,1.3097639707926687
10,1.0,0.7,0.3,0.7,0.3,0.03,0.8283394391910408,0.6253042703096192,0.34011881033697305,0.25351925800501146,0.33583650387677433,0.6174313022909327,1.2067870641727185
12.5,1.0,0.7,0.3,0.7,0.3,0.03,0.922573843457054,0.67805939942903,0.3559580707059994,0.22762405577540692,0.3097073798797474,0.5899571249599443,1.1272885606150986
15,1.0,0.7,0.3,0.7,0.3,0.03,0.9966361437264012,0.7175581235683957,0.3672219918869266,0.21070879409893212,0.2926592189573105,0.5718611756364044,1.075229188692647
17.5,1.0,0.7,0.3,0.7,0.3,0.03,1.0581395064683323,0.7484145343119237,0.3757741749921965,0.1984615437910453,0.2805931611056558,0.5588462804937592,1.0379009853904604
20,1.0,0.7,0.3,0.7,0.3,0.03,1.109177234232655,0.7735273250576307,0.38262899229812675,0.18932952599345504,0.27148362210003923,0.5488345217614292,1.0096476698549235
0.5,1.0,0.7,0.2,0.7,0.2,0.02,-0.07568071709344439,-0.07846439439124425,-0.1057493395394393,-1.8498767635504747,-1.7842487804331084,-1.323885336870467,-4.95801088085405
1.25,1.0,0.7,0.2,0.7,0.2,0.02,0.03386591189716919,0.033353394838005444,0.030077438562496922,4.1339503990058635,4.197473770810075,4.6546516821603205,12.98607585197626
1.5,1.0,0.7,0.2,0.7,0.2,0.02,0.06570039657724207,0.06380879602126364,0.0528322262981909,2.1308851588955937,2.194054875339544,2.649897795520192,6.974837829755329
1.75,1.0,0.7,0.2,0.7,0.2,0.02,0.09577734358236038,0.09182637608159931,0.07073593230312769,1.4617235638782555,1.5246164116897343,1.97919212261248,4.96553209818047
2,1.0,0.7,0.2,0.7,0.2,0.02,0.12429946333863034,0.11774783983337604,0.08524220530343762,1.1263121838152792,1.1889814725952748,1.642378907275339,3.957672563685893
3,1.0,0.7,0.2,0.7,0.2,0.02,0.2256081639021078,0.20509201773136465,0.12365460462365435,0.6205449199114377,0.6826204234987632,1.1321859014154243,2.4353512448256254
5,1.0,0.7,0.2,0.7,0.2,0.02,0.38403634432061073,0.32862243067494956,0.16076516794975895,0.3645488300011567,0.4260208279527889,0.8708354041203233,1.661405062074269
8,1.0,0.7,0.2,0.7,0.2,0.02,0.5531449640057041,0.4456975814174696,0.18537930231523878,0.253098209529313,0.3141143363505641,0.755208366044711,1.322420911924588
10,1.0,0.7,0.2,0.7,0.2,0.02,0.6373971628300874,0.4991616864033866,0.1944176121228728,0.21964327449841528,0.2804702440380451,0.7200993699661291,1.2202128885025894
12.5,1.0,0.7,0.2,0.7,0.2,0.02,0.7219396456665023,0.5499355205010041,0.20203297598650732,0.19392202774894085,0.25457529979597737,0.6929561835952455,1.1414535111401638
15,1.0,0.7,0.2,0.7,0.2,0.02,0.7904505051900139,0.5890431473602036,0.20734114665020034,0.17711418878320007,0.23767359085223194,0.6752157121817707,1.0900034918172028
17.5,1.0,0.7,0.2,0.7,0.2,0.02,0.8479292824064322,0.6206449204069111,0.2112798937953878,0.1651081085473054,0.225571813120153,0.6626281255876708,1.0533080472551293
20,1.0,0.7,0.2,0.7,0.2,0.02,0.8988613185563955,0.6474543871699903,0.2143411935998372,0.1557526140126323,0.21623144853792264,0.6531642268511951,1.02514828940175
0.5,1.0,0.5,0.5,0.5,0.5,0.05,-0.13980812714188426,-0.1582142957425566,-0.1582142957425566,-1.7881650023556037,-1.5801353400251228,-1.5801353400251228,-4.948435682405849
1.25,1.0,0.5,0.5,0.5,0.5,0.05,0.059657301397157234,0.05686742762593891,0.05686742762593892,4.1906018902141104,4.396189707128015,4.396189707128015,12.98298130447014
1.5,1.0,0.5,0.5,0.5,0.5,0.05,0.11433430156088047,0.10454277228583789,0.10454277228583789,2.1865704043933007,2.3913657016523064,2.3913657016523064,6.969301807697914
1.75,1.0,0.5,0.5,0.5,0.5,0.05,0.16483872342968037,0.1452902615492295,0.14529026154922955,1.5166339243499973,1.7206934403878895,1.7206934403878889,4.958020805125775
2,1.0,0.5,0.5,0.5,0.5,0.05,0.21175871702965499,0.18063968236594233,0.18063968236594213,1.1805889434293733,1.3839705469230543,1.3839705469230557,3.948530037275483
3,1.0,0.5,0.5,0.5,0.5,0.05,0.3713908547261531,0.2859369348355147,0.28593693483551463,0.6731452775926289,0.8743186680091278,0.874318668009128,2.4217826136108846
5,1.0,0.5,0.5,0.5,0.5,0.05,0.6015676022970907,0.40721567530303926,0.4072156753030391,0.4155808907350944,0.613925286186384,0.6139252861863842,1.6434314631078626
8,1.0,0.5,0.5,0.5,0.5,0.05,0.8247693894666909,0.5008880529635132,0.5008880529635127,0.3031150321445053,0.49911352151617605,0.4991135215161766,1.301342075176858
10,1.0,0.5,0.5,0.5,0.5,0.05,0.9284665202533195,0.5384489131191837,0.5384489131191839,0.269261189872297,0.46429660067799855,0.4642966006779985,1.1978543912282942
12.5,1.0,0.5,0.5,0.5,0.5,0.05,1.0282348836347608,0.5716250768781893,0.5716250768781892,0.24313510850386835,0.43734960223460223,0.4373496022346023,1.117834312973073
15,1.0,0.5,0.5,0.5,0.5,0.05,1.106030421656548,0.5957203940229772,0.5957204877170215,0.2260335657183503,0.4196599654944118,0.41965989949090815,1.0653534307036703
17.5,1.0,0.5,0.5,0.5,0.5,0.05,1.1685413309510773,0.6141686855667926,0.6141719313161293,0.21394194058718033,0.4070542928597615,0.40705214167678866,1.0280483751237306
20,1.0,0.5,0.5,0.5,0.5,0.05,1.2522763299135564,0.6286958261687642,0.6286969774332377,0.19963644926296523,0.39764857597907954,0.39764784780844264,0.9949328730504874
0.5,1.0,0.5,0.3,0.5,0.3,0.03,-0.08282208902558749,-0.08898362491303478,-0.10318642237726952,-1.8111110425342956,-1.6857034105611854,-1.453679627069257,-4.950494080164738
1.25,1.0,0.5,0.3,0.5,0.3,0.03,0.03598286470496739,0.034959760987594644,0.033173338284448566,4.168650862845077,4.2906471830064,4.52170350520071,12.981001551052186
1.5,1.0,0.5,0.3,0.5,0.3,0.03,0.06926596070850537,0.06559468401923176,0.059591066107621736,2.1655658633141726,2.2867706772704537,2.5171558389155066,6.969492379500133
1.75,1.0,0.5,0.3,0.5,0.3,0.03,0.10025526214366613,0.09278151242251641,0.08123837263317865,1.4961808167739812,1.6167013889245212,1.8464180797577712,4.9593002854562735
2,1.0,0.5,0.3,0.5,0.3,0.03,0.12924971980546004,0.11714492670054541,0.09936789296459395,1.1605441019583809,1.2804651829561613,1.5095419206830412,3.9505512055975833
3,1.0,0.5,0.3,0.5,0.3,0.03,0.22931343492616318,0.19424427658008073,0.15012832703134163,0.6541265235868043,0.7722235251454618,0.9991452177355253,2.4254952664677916
5,1.0,0.5,0.3,0.5,0.3,0.03,0.3773177594810922,0.2921559758092903,0.20335998865336052,0.39754290973816897,0.5134243774562222,0.7376082236888994,1.6485755108832905
8,1.0,0.5,0.3,0.5,0.3,0.03,0.5248787498601415,0.3752491936620744,0.2412189786549402,0.2857802874282276,0.39973436994265865,0.6218416180866619,1.3073562754575483
10,1.0,0.5,0.3,0.5,0.3,0.03,0.5946662380835714,0.4106779831276952,0.25568655982597305,0.2522423342603145,0.3652496753237423,0.5866557870781081,1.204147796662165
12.5,1.0,0.5,0.3,0.5,0.3,0.03,0.6622882281263428,0.44338700390359165,0.2681379548201652,0.2264874923480973,0.3383049089833391,0.559413530623078,1.1242059319545143
15,1.0,0.5,0.3,0.5,0.3,0.03,0.7151765836495595,0.46851008911258946,0.2769787334617627,0.20973841066572285,0.32016386303252675,0.5415578233218677,1.0714600970201174
17.5,1.0,0.5,0.3,0.5,0.3,0.03,0.7579736922499442,0.48688913077989904,0.2836415370841674,0.1978960503955552,0.3080783499104406,0.5288365080164166,1.0348109083224124
20,1.0,0.5,0.3,0.5,0.3,0.03,0.7933871138092498,0.5104146224817238,0.2889451995527872,0.18906281358643767,0.2938787279852489,0.519129579699408,1.0020711212710944
0.5,1.0,0.5,0.2,0.5,0.2,0.02,-0.053660040586485276,-0.05797789024113557,-0.07310026117163843,-1.8635841290285164,-1.724795427775838,-1.367984168554492,-4.956363725358846
1.25,1.0,0.5,0.2,0.5,0.2,0.02,0.02426996334100144,0.0235008220443433,0.021691757769114483,4.120319367399331,4.255170300481903,4.610045947607974,12.985535615489207
1.5,1.0,0.5,0.2,0.5,0.2,0.02,0.04723095758358957,0.04441679662485539,0.03838460034168415,2.1172554001900035,2.2514005421102468,2.6052114418240793,6.97386738412433
1.75,1.0,0.5,0.2,0.5,0.2,0.02,0.06905631395061076,0.06322421158937802,0.0516944283554973,1.4480935091832476,1.5816725505328484,1.9344444494542086,4.964210509170305
2,1.0,0.5,0.2,0.5,0.2,0.02,0.08987296673516815,0.08027011019075775,0.06259454788626219,1.1126816397935715,1.2457937302235564,1.5975832301194286,3.9560586001365565
3,1.0,0.5,0.2,0.5,0.2,0.02,0.1647670930947088,0.13536525930545773,0.09197332713564539,0.6069173044311682,0.7387419823453044,1.0872717462152544,2.432931032991727
5,1.0,0.5,0.2,0.5,0.2,0.02,0.28494518026630816,0.20772801165070098,0.12109212910957466,0.35094469717487614,0.4813987252145469,0.8258175055251636,1.6581609279145866
8,1.0,0.5,0.2,0.5,0.2,0.02,0.4174812483955062,0.27104812892846275,0.14082172646495544,0.23953171641679036,0.36893816753257436,0.7101176963974076,1.3185875803467724
10,1.0,0.5,0.2,0.5,0.2,0.02,0.4852159033948436,0.29844425427302784,0.1481537341098044,0.20609382194677403,0.33507095066576925,0.6749745499218051,1.2161393225343482
12.5,1.0,0.5,0.2,0.5,0.2,0.02,0.5543887313375936,0.32365181248912744,0.15437029616400386,0.1803788467321953,0.3089740151026015,0.6477930177302986,1.1371458795650953
