r,er,srx,sry,Pxx_inf,Pyy_inf,Nx,Ny,N_sum
0.3,2,1.8257418583505538,0.5477225575051661,0.800998870813804,0.5783678208387274,1.248441210639927,1.7290035233112335,2.9774447339511605
0.35,10000000000.0,1.6903085094570331,0.5916079783099616,3.9168345947522174,1.4950702184205253,0.25530820253165704,0.6688649052594032,0.9241731077910602
0.35,100,1.6903085094570331,0.5916079783099616,3.76028721905025,1.4701549818129922,0.26593713239080013,0.6802003954486499,0.9461375278394499
0.35,10,1.6903085094570331,0.5916079783099616,2.6930959603217604,1.2648349168458277,0.3713198544475645,0.790617009920743,1.1619368643683075
0.35,5,1.6903085094570331,0.5916079783099616,1.9439613037767676,1.0668256701433356,0.5144135318214307,0.9373602716792921,1.4517738035007228
0.35,2,1.6903085094570331,0.5916079783099616,0.7847821532825607,0.5874537710979995,1.2742389665937652,1.702261606272299,2.9765005728660645
0.4,10000000000.0,1.5811388300841895,0.6324555320336759,3.5971036267413448,1.553115437164976,0.2780014433184153,0.6438671434657676,0.9218685867841829
0.4,100,1.5811388300841895,0.6324555320336759,3.4641972279010806,1.5262217564048308,0.2886671670844472,0.6552127800586468,0.943879947143094
0.4,10,1.5811388300841895,0.6324555320336759,2.535934416940415,1.3059445968192287,0.3943319643125835,0.7657292678691039,1.1600612321816874
0.4,5,1.5811388300841895,0.6324555320336759,1.8598970602128886,1.0957854021014783,0.537664165072414,0.9125874446604392,1.4502516097328533
0.4,2,1.5811388300841895,0.6324555320336759,0.7704442179347584,0.5960214971375356,1.297952501584846,1.6777918326815717,2.975744334266418
0.5,10000000000.0,1.414213562373095,0.7071067811865476,3.1420026206319824,1.6658132875563312,0.3182683532577258,0.6003073738635814,0.9185757271213071
0.5,100,1.414213562373095,0.7071067811865476,3.0394157222623646,1.6349536236431457,0.32901060314831104,0.6116381440665657,0.9406487472148768
0.5,10,1.414213562373095,0.7071067811865476,2.2975094116371597,1.3848675838930042,0.435253929727069,0.7220906977899634,1.1573446275170323
0.5,5,1.414213562373095,0.7071067811865476,1.7269346850815366,1.1507912826709161,0.5790606956005319,0.8689673054170702,1.448028001017602
0.5,2,1.414213562373095,0.7071067811865476,0.746150480735527,0.611839976967282,1.3402122303992055,1.6344142874689518,2.974626517868157
0.6,10000000000.0,1.2909944487358056,0.7745966692414834,2.8321848783567845,1.7749506196195093,0.35308429461716273,0.563395955327685,0.9164802499448478
0.6,100,1.2909944487358056,0.7745966692414834,2.7479914790914526,1.7400837101387994,0.36390214729873266,0.5746849959995511,0.9385871432982837
0.6,10,1.2909944487358056,0.7745966692414834,2.1244481111024394,1.4601334543707587,0.4707104846543276,0.6848689049665997,1.1555793896209272
0.6,5,1.2909944487358056,0.7745966692414834,1.626098446896023,1.2025079110162864,0.6149689164938626,0.8315953606948506,1.4465642771887133
0.6,2,1.2909944487358056,0.7745966692414834,0.726272071485869,0.6261806898451393,1.3768944714535356,1.5969831331708901,2.973877604624426
0.667,10000000000.0,1.224438799945752,0.8167006795638168,2.6740505393096394,1.8464835605755487,0.3739645101315738,0.5415699448135353,0.915534454945109
0.667,100,1.224438799945752,0.8167006795638168,2.5985439463236766,1.8088945953678517,0.3848308978629216,0.5528238088392556,0.9376547067021772
0.667,10,1.224438799945752,0.8167006795638168,2.0325236214171607,1.5088184076938427,0.4919992021065704,0.6627702809700291,1.1547694830765995
0.667,5,1.224438799945752,0.8167006795638168,1.5709918173150033,1.235566344496824,0.6365405529031395,0.8093454507351795,1.445886003638319
0.667,2,1.224438799945752,0.8167006795638168,0.7148309750954022,0.6350844142449648,1.3989321040075786,1.574593829686206,2.973525933693785
0.8,10000000000.0,1.118033988749895,0.8944271909999159,2.4346569827876166,1.9854417822023334,0.4107354781678637,0.503666241419962,0.9144017195878257
0.8,100,1.118033988749895,0.8944271909999159,2.371403220835806,1.942332418769119,0.4216912548712605,0.5148449309380898,0.9365361858093504
