er,sx,sy,sz,smin,nd,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
100,1.0,0.7,0.2,0.2,85,8.277484745766824,5.685800681132562,1.654318117713039,0.12080964576967762,0.1758767245074811,0.6044786605990987,0.9011650308762574
100,1.0,0.5,0.2,0.2,85,9.671328280864046,4.581895957781359,1.8205897132614086,0.10339841342978992,0.2182502634748212,0.5492725750979872,0.8709212520025984
100,1.0,0.3,0.2,0.2,85,35.71292912056067,4.420279809163043,2.65590718698855,0.028001063609881253,0.22623002234542813,0.376519181430383,0.6307502673856924
100,1.0,0.2,0.2,0.2,85,5.34300391285212,1.186873988868981,1.186873988868981,0.1871606340385769,0.8425494276380084,0.8425494276380084,1.8722594893145938
100,1.0,1.0,0.2,0.2,95,7.482002118029003,7.482002118029003,1.5448203415284616,0.1336540653457382,0.1336540653457382,0.6473244642872772,0.9146325949787536
100,1.0,0.7,0.2,0.2,95,8.306649501992032,5.689643912054023,1.6547801275539034,0.12038548150613412,0.17575792359894615,0.6043098918997779,0.9004532970048582
100,1.0,0.5,0.2,0.2,95,9.680810725836457,4.569148612813548,1.8188531640887462,0.10329713371331267,0.2188591540217444,0.5497969928215753,0.8719532805566325
100,1.0,0.3,0.2,0.2,95,31.659592144306938,4.329716949039568,2.6198556711867114,0.03158600387023056,0.23096198014094738,0.3817004161710297,0.6442484001822076
100,1.0,0.2,0.2,0.2,95,5.657673535381255,1.2806525981970551,1.2806525981970551,0.176751096320126,0.7808518886447682,0.7808518886447682,1.7384548736096623
100,1.0,1.0,0.2,0.2,100,7.494806007395852,7.494806007395851,1.5452685971072555,0.13342573497075216,0.13342573497075216,0.6471366867041762,0.9139881566456806
100,1.0,0.7,0.2,0.2,100,8.321681615157875,5.691567360227241,1.6550224193654661,0.12016801966786475,0.17569852673413217,0.60422142219886,0.9000879686008569
100,1.0,0.5,0.2,0.2,100,9.685531216852588,4.562462122834925,1.8179438517301534,0.10324678921689132,0.21917990178922106,0.5500719942743507,0.872498685280463
100,1.0,0.3,0.2,0.2,100,29.88122932840221,4.282295567575752,2.6008391165571694,0.033465825284821754,0.2335196121378678,0.384491294995493,0.6514767324181825
100,1.0,0.2,0.2,0.2,100,5.831236385308207,1.3290604604658989,1.3290604604658993,0.17149021818417423,0.7524112181092593,0.752411218109259,1.6763126544026925
10000000000.0,1.0,1.0,0.2,0.2,70,8.062528513300425,8.062528513300425,1.5705045795957362,0.12403056911368943,0.12403056911368943,0.6367380350189173,0.8847991732462962
10000000000.0,1.0,0.7,0.2,0.2,70,9.041708183699523,6.055875325052247,1.686327735001037,0.11059857050051775,0.16512889488711074,0.593004538349353,0.8687320037369815
10000000000.0,1.0,0.5,0.2,0.2,70,10.838749787220134,4.859547091632416,1.8655298485843859,0.09226156333815275,0.20578049376697788,0.536040739717366,0.8340827968224966
10000000000.0,1.0,0.3,0.2,0.2,70,-766.0422600236095,5.0860691570718135,2.9132358399512857,-0.001305411009529918,0.19661549403227674,0.3432609149888537,0.5385709980116005
10000000000.0,1.0,0.2,0.2,0.2,70,5.524490147368248,1.187617401242607,1.187617401242607,0.1810121791015193,0.8420220173211487,0.8420220173211487,1.8650562137438165
10000000000.0,1.0,1.0,0.2,0.2,85,8.116335394503903,8.116335394503903,1.5721382958804915,0.12320831402275033,0.12320831402275033,0.636076357035715,0.8824929850812157
10000000000.0,1.0,0.7,0.2,0.2,85,9.104680919257,6.0647344759514,1.6872539691492612,0.1098336129369382,0.1648876804030445,0.5926790028558742,0.8674002961958569
10000000000.0,1.0,0.5,0.2,0.2,85,10.85602829727344,4.834700062853621,1.8623089393561734,0.09211471936298805,0.20683806378875189,0.5369678353934736,0.8359206185452135
10000000000.0,1.0,0.3,0.2,0.2,85,165.73966647858956,4.8882959955447545,2.8392621536401106,0.006033558660075988,0.20457026352565613,0.3522041804832773,0.5628080026690094
10000000000.0,1.0,0.2,0.2,0.2,85,6.098739658116194,1.3421730956587223,1.342173095658723,0.1639683042822137,0.745060382475639,0.7450603824756385,1.6540890692334913
10000000000.0,1.0,1.0,0.2,0.2,95,8.146015319451477,8.146015319451479,1.5730763232611877,0.12275940576887306,0.12275940576887304,0.6356970639077909,0.881215875445537
10000000000.0,1.0,0.7,0.2,0.2,95,9.13949670992316,6.069404059894808,1.687782295674237,0.10941521527265886,0.16476082167733147,0.5924934765360357,0.866669513486026
10000000000.0,1.0,0.5,0.2,0.2,95,10.864789783565705,4.82050621097852,1.8604736104129955,0.09204043703750438,0.20744709294690628,0.5374975460028245,0.8369850759872351
10000000000.0,1.0,0.3,0.2,0.2,95,97.81806944925437,4.775529147967498,2.796380134504042,0.010223060070908225,0.2094008787331154,0.357605172365937,0.5772291111699606
10000000000.0,1.0,0.2,0.2,0.2,95,6.457531038538568,1.4279567156277413,1.4279567156277413,0.15485794710578957,0.7003013390082989,0.7003013390082989,1.5554606251223875
10000000000.0,1.0,1.0,0.2,0.2,100,8.161313628212431,8.161313628212433,1.5735695093874498,0.1225292943703512,0.12252929437035118,0.6354978245538542,0.8805564132945566
10000000000.0,1.0,0.7,0.2,0.2,100,9.157462735299806,6.071750381869314,1.6880589524730347,0.10920055357094074,0.16469715273310187,0.5923963724933796,0.8662940787974223
10000000000.0,1.0,0.5,0.2,0.2,100,10.869090230330373,4.813054720085561,1.8595107263454114,0.0920040204661733,0.20776825906982896,0.5377758707342063,0.8375481502702086
10000000000.0,1.0,0.3,0.2,0.2,100,80.48982051201403,4.716385424412495,2.773684220516199,0.012423931295147296,0.21202677686685598,0.3605313079993995,0.5849820161614028
10000000000.0,1.0,0.2,0.2,0.2,100,6.656025473467682,1.4723159361091696,1.472315936109169,0.15023980962606145,0.6792020486055866,0.6792020486055869,1.5086439068372348
10,1.0,1.0,0.3,0.3,67,3.6104952520457845,3.6104952520457845,1.4828469513136375,0.27697031298777597,0.27697031298777597,0.6743784307032571,1.2283190566788091
10,1.0,0.7,0.3,0.3,67,3.856278614462737,3.038517605034533,1.5914931373754952,0.2593173626639842,0.32910785125717085,0.6283407553042191,1.216765969225374
10,1.0,0.5,0.3,0.3,67,4.18432968033591,2.6110886324759104,1.746118341200621,0.23898690504705208,0.3829820204348141,0.572698869489227,1.1946677949710933
10,1.0,0.3,0.3,0.3,67,4.976952856391612,2.157868564413139,2.1578685644131386,0.20092615478881984,0.4634202548253736,0.4634202548253737,1.1277666644395672
10,1.0,1.0,0.3,0.3,80,3.6195680800907657,3.6195680800907657,1.4837086625988294,0.27627605777066183,0.27627605777066183,0.6739867638491935,1.2265388793905172
10,1.0,0.7,0.3,0.3,80,3.867463609631722,3.039225010516746,1.5916333775346747,0.2585673973788792,0.32903124860438493,0.6282853916703656,1.2158840376536295
10,1.0,0.5,0.3,0.3,80,4.191964693367011,2.603787833776591,1.7430849493847376,0.23855162749397918,0.38405586931004976,0.5736955048306586,1.1963030016346874
10,1.0,0.3,0.3,0.3,80,4.952359451926526,2.1377367004322143,2.1377367004322143,0.20192395356338447,0.46778445624188275,0.46778445624188275,1.13749286604715
10,1.0,1.0,0.3,0.3,94,3.6261146715229526,3.6261146715229526,1.4843647599556595,0.2757772686708786,0.2757772686708786,0.6736888580067555,1.2252433953485127
10,1.0,0.7,0.3,0.3,94,3.8755639728174485,3.039644899097329,1.5917482616007241,0.25802696253082935,0.3289857970899712,0.6282400453161865,1.215252804936987
10,1.0,0.5,0.3,0.3,94,4.197393499147041,2.598300695676266,1.7408327168766118,0.23824309067120145,0.38486692539630313,0.5744377333361428,1.1975477494036473
10,1.0,0.3,0.3,0.3,94,4.93396119648487,2.122708811669479,2.122708811669478,0.20267690810224362,0.4710961741443542,0.4710961741443544,1.1448692563909522
10,1.0,1.0,0.3,0.3,100,3.6284011813739876,3.6284011813739876,1.4846008322526028,0.2756034820883076,0.2756034820883076,0.6735817320556717,1.224788696232287
10,1.0,0.7,0.3,0.3,100,3.87839906311007,3.039772716421557,1.5917911088396663,0.2578383461133844,0.3289719637911638,0.6282231345851331,1.2150334444896813
10,1.0,0.5,0.3,0.3,100,4.199272525565953,2.5963387044596993,1.7400329055304795,0.23813648528687142,0.38515776014982644,0.5747017753639162,1.197996020800614
10,1.0,0.3,0.3,0.3,100,4.927400471491057,2.117356170185986,2.117356170185986,0.202946767932868,0.47228709750431885,0.47228709750431885,1.1475209629415057
