er,sx,sy,sz,smin,nd,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
3.0,1.0,0.7,0.2,0.2,85,1.5896475155504457,1.4599624721084965,0.8863153390981713,0.6290702751507342,0.6849491128054731,1.128266606575379,2.442285994531586
3.0,1.0,0.5,0.2,0.2,85,1.6244618668676707,1.361361829808682,0.925980177871226,0.6155884729558015,0.7345585707662556,1.0799367242384619,2.430083767960519
3.0,1.0,0.3,0.2,0.2,85,1.6891742969300025,1.2219557335052822,1.0167974282832024,0.5920052192467377,0.8183602503598199,0.983480064154407,2.3938455337609645
3.0,1.0,0.2,0.2,0.2,85,1.751911588085994,1.1295711108522264,1.1295711108522262,0.5708050604839736,0.8852917628581445,0.8852917628581446,2.341388586200263
3.0,1.0,1.0,0.2,0.2,95,1.5615933452270152,1.5615933452270152,0.855971381166053,0.6403715814084914,0.6403715814084914,1.1682633578680435,2.4490065206850264
3.0,1.0,0.7,0.2,0.2,95,1.5910916376417916,1.4600940179299178,0.8862534001077852,0.6284993122596838,0.6848874029480466,1.1283454595247602,2.4417321747324907
3.0,1.0,0.5,0.2,0.2,95,1.625934248713354,1.360491336700384,0.9256346424598879,0.6150310203449662,0.7350285687414314,1.0803398599500176,2.430399449036415
3.0,1.0,0.3,0.2,0.2,95,1.6900233467645325,1.2190795460623558,1.0150283499301331,0.5917078020930606,0.8202910164722345,0.9851941574526785,2.3971929760179735
3.0,1.0,0.2,0.2,0.2,95,1.7513072861030932,1.1247172511649848,1.1247172511649848,0.5710020211388155,0.8891123515391959,0.8891123515391959,2.3492267242172074
3.0,1.0,1.0,0.2,0.2,100,1.5621531043119599,1.5621531043119599,0.855978331336188,0.6401421200263488,0.6401421200263488,1.168253872079908,2.4485381121326055
3.0,1.0,0.7,0.2,0.2,100,1.5918227060213912,1.4601555093942262,0.8862235236013266,0.6282106645528411,0.6848585603151744,1.1283834984839067,2.4414527233519223
3.0,1.0,0.5,0.2,0.2,100,1.626679452614052,1.3600413826188575,0.9254591711656684,0.6147492663001389,0.7352717445070885,1.0805446973316426,2.43056570813887
3.0,1.0,0.3,0.2,0.2,100,1.6904478896480146,1.217603722378491,1.0141228355398264,0.5915591992653617,0.8212852684505435,0.9860738413090672,2.3989183090249724
3.0,1.0,0.2,0.2,0.2,100,1.7509858555951834,1.122228625783702,1.122228625783702,0.5711068406432597,0.8910840242572281,0.8910840242572281,2.3532748891577158
6.0,1.0,1.0,0.2,0.2,70,2.990117060392894,2.9901170603928944,1.1682924235708603,0.3344350671905141,0.3344350671905141,0.8559500856331173,1.5248202200141454
6.0,1.0,0.7,0.2,0.2,70,3.1032131757853216,2.653823089291705,1.2276393227974887,0.3222466338449123,0.37681486909773476,0.8145714962284244,1.5136329991710715
6.0,1.0,0.5,0.2,0.2,70,3.2532621665348436,2.366066552064672,1.310143395393212,0.3073837732128219,0.4226423805059,0.7632752288919268,1.4933013826106487
